posterior_mu,generation,estimated_p_theta,FrequencyPer350Mil,WordA,WordB,RelFreq,GenPref
0.8444696328386111,500,0.8444696328386111,6,20s,30s,1,0.840394712434976
0.8437645045021936,500,0.8437645045021936,6,20s,30s,1,0.840394712434976
0.8990951789327902,500,0.8990951789327902,6,20s,30s,1,0.840394712434976
0.786805202240725,500,0.786805202240725,6,20s,30s,1,0.840394712434976
0.78604507364662,500,0.78604507364662,6,20s,30s,1,0.840394712434976
0.8437645045021936,500,0.8437645045021936,6,20s,30s,1,0.840394712434976
0.8990951789327902,500,0.8990951789327902,6,20s,30s,1,0.840394712434976
0.7841805360637607,500,0.7841805360637607,6,20s,30s,1,0.840394712434976
0.8458063342786717,500,0.8458063342786717,6,20s,30s,1,0.840394712434976
0.8990951789327902,500,0.8990951789327902,6,20s,30s,1,0.840394712434976
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.6140795995314926,500,0.6140795995314926,1,a.b.,m.a.,1,0.67148320052482
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.7004496553904128,500,0.7004496553904128,1,a.b.,m.a.,1,0.67148320052482
0.7903660332285604,500,0.7903660332285604,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7058219500187809,500,0.7058219500187809,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7903660332285604,500,0.7903660332285604,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7903660332285604,500,0.7903660332285604,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7058219500187809,500,0.7058219500187809,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7903660332285604,500,0.7903660332285604,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7903660332285604,500,0.7903660332285604,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7903660332285604,500,0.7903660332285604,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7903660332285604,500,0.7903660332285604,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.7058219500187809,500,0.7058219500187809,1,abasement,humiliation,0.470046082949309,0.770008508566654
0.08207262401604505,500,0.08207262401604505,13,ability,age,0.0952847920241889,0.109060314032869
0.08207262401604505,500,0.08207262401604505,13,ability,age,0.0952847920241889,0.109060314032869
0.20107373736603987,500,0.20107373736603987,13,ability,age,0.0952847920241889,0.109060314032869
0.08014324182572129,500,0.08014324182572129,13,ability,age,0.0952847920241889,0.109060314032869
0.048328264965922074,500,0.048328264965922074,13,ability,age,0.0952847920241889,0.109060314032869
0.16191826148040941,500,0.16191826148040941,13,ability,age,0.0952847920241889,0.109060314032869
0.08156611497771679,500,0.08156611497771679,13,ability,age,0.0952847920241889,0.109060314032869
0.12295636562493387,500,0.12295636562493387,13,ability,age,0.0952847920241889,0.109060314032869
0.20065611812275577,500,0.20065611812275577,13,ability,age,0.0952847920241889,0.109060314032869
0.048328264965922074,500,0.048328264965922074,13,ability,age,0.0952847920241889,0.109060314032869
0.5496703286641221,500,0.5496703286641221,28,ability,desire,0.464249330264498,0.487661623143121
0.6262992638656153,500,0.6262992638656153,28,ability,desire,0.464249330264498,0.487661623143121
0.47047307601718447,500,0.47047307601718447,28,ability,desire,0.464249330264498,0.487661623143121
0.39283393372987,500,0.39283393372987,28,ability,desire,0.464249330264498,0.487661623143121
0.31673482310042206,500,0.31673482310042206,28,ability,desire,0.464249330264498,0.487661623143121
0.5781720355571995,500,0.5781720355571995,28,ability,desire,0.464249330264498,0.487661623143121
0.447308902273873,500,0.447308902273873,28,ability,desire,0.464249330264498,0.487661623143121
0.5477016671795862,500,0.5477016671795862,28,ability,desire,0.464249330264498,0.487661623143121
0.4957708690952877,500,0.4957708690952877,28,ability,desire,0.464249330264498,0.487661623143121
0.41623741083502613,500,0.41623741083502613,28,ability,desire,0.464249330264498,0.487661623143121
0.3564959823060706,500,0.3564959823060706,21,ability,strength,0.206850134609632,0.327251624573868
0.2936535056066967,500,0.2936535056066967,21,ability,strength,0.206850134609632,0.327251624573868
0.3588511288748519,500,0.3588511288748519,21,ability,strength,0.206850134609632,0.327251624573868
0.2915608964663151,500,0.2915608964663151,21,ability,strength,0.206850134609632,0.327251624573868
0.2652661939538499,500,0.2652661939538499,21,ability,strength,0.206850134609632,0.327251624573868
0.26260358792687327,500,0.26260358792687327,21,ability,strength,0.206850134609632,0.327251624573868
0.2621926437236843,500,0.2621926437236843,21,ability,strength,0.206850134609632,0.327251624573868
0.3260695970759743,500,0.3260695970759743,21,ability,strength,0.206850134609632,0.327251624573868
0.22636442304339355,500,0.22636442304339355,21,ability,strength,0.206850134609632,0.327251624573868
0.3582571357730911,500,0.3582571357730911,21,ability,strength,0.206850134609632,0.327251624573868
0.5899009656926418,500,0.5899009656926418,1,abolition,emancipation,0.871169480925578,0.550529942450597
0.5899009656926418,500,0.5899009656926418,1,abolition,emancipation,0.871169480925578,0.550529942450597
0.5026987822960474,500,0.5026987822960474,1,abolition,emancipation,0.871169480925578,0.550529942450597
