Estimate,Est.Error,Q2.5,Q97.5,checkpoint,Parameter
0.09965025322392386,0.4071052786477211,-0.7114013385096899,0.8818052065110638,step0-tokens0B,Intercept
0.18929674685632172,0.7890769180863737,-1.3027781989915508,1.7872557940715852,step0-tokens0B,GenPref
0.5895116905562099,0.7569484810207555,-0.7034688448517971,2.317375447532513,step1000-tokens4B,Intercept
-1.0639371042191126,1.4092773364416333,-4.467217777088535,1.1702801181179245,step1000-tokens4B,GenPref
-0.4518533473708346,0.608109163684818,-1.7745318282527751,0.6143380029160946,step10000-tokens41B,Intercept
0.868880704784124,1.1672789473119822,-1.1185993558854506,3.472114434926527,step10000-tokens41B,GenPref
-1.2378203920758317,0.6136209220168419,-2.564536052519683,-0.17894261162166042,step100000-tokens419B,Intercept
1.699803308672376,1.215552149986305,-0.3554033858889816,4.325616694177733,step100000-tokens419B,GenPref
0.9554017302852835,0.7018502772536642,-0.27130551215593607,2.55105693022652,step1500-tokens6B,Intercept
-0.7622277858538355,1.293000500285335,-3.8815030667815873,1.432437182405077,step1500-tokens6B,GenPref
0.20923629834063026,0.6712291301182641,-1.2680936870914523,1.4050818823612994,step2000-tokens8B,Intercept
0.738816225991069,1.2262148386318217,-1.3430934934225383,3.5648690923726387,step2000-tokens8B,GenPref
-0.7993465718202387,0.5451468974587037,-1.9276451896351865,0.2243519567949447,step20000-tokens83B,Intercept
0.4280667046964498,1.0194813133943619,-1.4384720898705887,2.6541708704265456,step20000-tokens83B,GenPref
-0.959535883094586,0.6332084628707184,-2.357873609231666,0.11907768131778917,step200000-tokens838B,Intercept
1.7697640137917088,1.266798211935929,-0.3202645490844527,4.585463535519599,step200000-tokens838B,GenPref
0.006417110009708594,0.6330702497598081,-1.3429781754110166,1.1719125252830345,step2500-tokens10B,Intercept
0.4386246382634071,1.1592428301246558,-1.6613892920657305,2.983225206527508,step2500-tokens10B,GenPref
-0.10339546495103695,0.6164710589326712,-1.3925399087050399,1.0314440062935415,step3000-tokens12B,Intercept
0.4074228035020366,1.1214757670906057,-1.6287756859948361,2.889029673345652,step3000-tokens12B,GenPref
-0.27852627423300164,0.5066586365098127,-1.2979135994946398,0.6923785513288356,step30000-tokens125B,Intercept
0.24075006477759414,0.9444836728138477,-1.5756887482461603,2.2074838230722995,step30000-tokens125B,GenPref
0.3113785476323245,0.647562831087839,-0.8797700791268432,1.7442239708128353,step3500-tokens14B,Intercept
-0.45839327684021086,1.1688309283297258,-3.1136092407270777,1.6592566728123275,step3500-tokens14B,GenPref
-0.3348163343681738,0.637898491607584,-1.6602538482171683,0.901663702378449,step4000-tokens16B,Intercept
0.15130104078409173,1.1335015508301516,-2.1058556979535843,2.620121521349499,step4000-tokens16B,GenPref
-1.534094991389521,0.7796578862257956,-3.2578608287510478,-0.25774404092947173,step40000-tokens167B,Intercept
2.0975433282315827,1.5467509791351342,-0.36113506518764077,5.599525618772286,step40000-tokens167B,GenPref
-2.0185851971130204,0.7512771123971771,-3.4895877535763837,-0.569591115023339,step400000-tokens1677B,Intercept
3.8576367421100586,1.51603185308414,0.9484718232303111,6.825144474916183,step400000-tokens1677B,GenPref
-0.013767000010432804,0.6613555106346074,-1.225987008798954,1.3844701936672315,step4500-tokens18B,Intercept
-0.43647551034817417,1.1913028192753525,-3.103921497752734,1.6369053039305206,step4500-tokens18B,GenPref
-0.6988336746624263,0.700947242765852,-2.2887834194353296,0.4712968074158781,step500-tokens2B,Intercept
1.209584429277623,1.3456095709865525,-0.9436602446408294,4.403936376426333,step500-tokens2B,GenPref
-1.177514692713658,0.8831592798113832,-3.2750246296691774,0.20532130249976469,step5000-tokens20B,Intercept
1.7366442024204474,1.735252298727789,-0.782576208898355,5.971338617717946,step5000-tokens20B,GenPref
-0.37686508666472335,0.5293363770353263,-1.530849966602493,0.5703989402674419,step50000-tokens209B,Intercept
1.050586420151326,1.0396487733278545,-0.7762234286468829,3.3752186973359843,step50000-tokens209B,GenPref
-1.0259646802759597,0.7137309380311004,-2.6554366608485385,0.15763914900957346,step5500-tokens23B,Intercept
1.466647180885171,1.3897635827932318,-0.7161846330584332,4.675914917813093,step5500-tokens23B,GenPref
-0.3982721786861657,0.5578876153480778,-1.5536752015730235,0.6519057659391169,step6000-tokens25B,Intercept
0.2722393078007059,1.032080325928357,-1.7060953984838307,2.5030976114394337,step6000-tokens25B,GenPref
0.09121310731934681,0.60586234202664635,-1.0301437993185105,1.3927996507701779,step6500-tokens27B,Intercept
-0.40396466522301316,1.1108756585427513,-2.850377076682884,1.607433265782142,step6500-tokens27B,GenPref
-0.31720460182310994,0.6357203227479792,-1.675118159866176,0.8694664085600338,step7000-tokens29B,Intercept
0.46720817211393834,1.159915929140115,-1.6671564743535574,3.044431887900083,step7000-tokens29B,GenPref
-0.2574345144163067,0.5831524160766582,-1.4837785798029934,0.8242918341855725,step7500-tokens31B,Intercept
0.4100877261118006,1.08209065919247,-1.598643686101254,2.785915336700695,step7500-tokens31B,GenPref
-0.363536162822252,0.5928018663166215,-1.5422748676108715,0.7963690363883437,step8000-tokens33B,Intercept
0.04869454610163777,1.0723003716089974,-2.1076943244873987,2.2311597860929226,step8000-tokens33B,GenPref
-0.5136759190701197,0.597772116110203,-1.7539013358524687,0.5979968792625651,step8500-tokens35B,Intercept
0.3662078287695173,1.0966234675890634,-1.667383876280105,2.7356999623097846,step8500-tokens35B,GenPref
-0.44257989285491284,0.6097929953655653,-1.7312144757693568,0.7340558865842509,step9000-tokens37B,Intercept
