Estimate,Est.Error,Q2.5,Q97.5,checkpoint,Parameter,% Samples > 0
0.18265382008192113,0.49620809095122154,-0.780638475501107,1.232533853223797,step0-tokens0B,Intercept,64.7625
-0.360104577001498,0.9367243484851372,-2.373156480264832,1.4346082624277516,step0-tokens0B,GenPref,35.15
0.6719321084185705,0.6793520659722811,-0.6152065230563306,2.066143609384354,step0-tokens0B,log_bigram_odds_ratio,52.2625
0.054722945399600424,1.1260357409170352,-2.247551640525397,2.2992896724015397,step0-tokens0B,GenPref:log_bigram_odds_ratio,84.7125
1.0014699193474645,1.6202931918152341,-1.1734431899406166,5.23785389526103,step1000-tokens4B,Intercept,71
-2.8226314817393416,3.2360149981641593,-11.486002051077207,0.9494747364248015,step1000-tokens4B,GenPref,12.775
-0.43258746728708175,0.9610243948926684,-2.4791376796828635,1.3349356835749904,step1000-tokens4B,log_bigram_odds_ratio,51.4625
0.0461302164356439,1.3186278392155248,-2.6281282719469803,2.7726718695001646,step1000-tokens4B,GenPref:log_bigram_odds_ratio,32.800000000000004
-0.49007056081832334,0.8793035234087458,-2.5702530869045046,0.9444231178577651,step10000-tokens41B,Intercept,29.762499999999996
1.2054347025475471,1.642006037491685,-1.2186422604843208,5.381211091324309,step10000-tokens41B,GenPref,78.57499999999999
0.5721101727717851,0.8822462082961522,-1.078938393540621,2.4868712628638874,step10000-tokens41B,log_bigram_odds_ratio,64.9375
0.5122189103265592,1.2932224550624047,-1.756090560002913,3.495302632518664,step10000-tokens41B,GenPref:log_bigram_odds_ratio,74.725
-2.157603961947928,1.0283156880172162,-4.455006701384035,-0.5024932005102497,step100000-tokens419B,Intercept,0.2375
2.6028374899283175,2.0330359203104527,-0.4324398373311912,7.250699590834891,step100000-tokens419B,GenPref,93.9875
-0.488968648314118,0.7956644921563993,-2.0764201625369467,1.0414312375019819,step100000-tokens419B,log_bigram_odds_ratio,28.9875
-0.7151111816914671,1.3313675627670707,-3.8651484502591082,1.485520785618732,step100000-tokens419B,GenPref:log_bigram_odds_ratio,26.5625
1.940410753879481,1.3119290874564946,0.0651539022278268,5.298666310191469,step1500-tokens6B,Intercept,97.925
-2.0427461343123507,2.51699519644784,-8.829305138921672,1.0719052526514654,step1500-tokens6B,GenPref,15.837499999999999
0.16603322063026038,0.9191576392388081,-1.6129170792546865,2.0648369737428345,step1500-tokens6B,log_bigram_odds_ratio,55.95
0.1947779547913883,1.254504298957713,-2.231559905242309,2.932313589147517,step1500-tokens6B,GenPref:log_bigram_odds_ratio,56.725
1.2751656933372184,0.7166047937687913,-0.10501357949164342,2.7377718677379805,step2000-tokens8B,Intercept,96.5125
-0.1808235647715175,1.184513549061355,-2.698480837097425,2.0950358072881925,step2000-tokens8B,GenPref,44.4375
0.13822362022243567,0.8472372820596993,-1.5348375381118289,1.818581614401124,step2000-tokens8B,log_bigram_odds_ratio,60.62499999999999
0.33917171525443357,1.2539134780290153,-1.9468951318261043,3.102145814801323,step2000-tokens8B,GenPref:log_bigram_odds_ratio,57.0125
-0.9786683567135004,0.6993136009403075,-2.3923415311064993,0.3755126979769376,step20000-tokens83B,Intercept,7.1499999999999995
0.09199804365513133,1.1720001664769715,-2.2410609896723983,2.5629496985223237,step20000-tokens83B,GenPref,52.7125
-0.43072239821063324,0.8920870835793263,-2.2791157662940043,1.2884651131653044,step20000-tokens83B,log_bigram_odds_ratio,36.425000000000004
-0.4732033222077822,1.331796885023521,-3.517495251101226,1.873865214995831,step20000-tokens83B,GenPref:log_bigram_odds_ratio,31
-1.1795097784602429,0.9118344753511577,-3.2966595331794553,0.28208891997536834,step200000-tokens838B,Intercept,6.7125
1.982996313655884,1.8005889776892352,-0.6946230816988264,6.275158482321643,step200000-tokens838B,GenPref,90.08749999999999
-0.6411340773686826,0.8022273885431797,-2.319614604211252,0.8463088351113307,step200000-tokens838B,log_bigram_odds_ratio,37.512499999999996
-0.3966596479456847,1.2370156665242678,-3.193749103319465,1.8581049928665556,step200000-tokens838B,GenPref:log_bigram_odds_ratio,21.125
0.7194961688489757,0.7601673147352613,-0.6977255682304279,2.296194041608056,step2500-tokens10B,Intercept,83.75
-0.32233004392565756,1.3046457016025153,-3.2341533456852387,2.1006918208842364,step2500-tokens10B,GenPref,40.637499999999996
1.3111427273930505,1.1687092691010796,-0.6949298410327719,3.854129284378672,step2500-tokens10B,log_bigram_odds_ratio,76.14999999999999
1.2618932035004873,1.915736218757106,-1.3982012354065745,6.3787097750246335,step2500-tokens10B,GenPref:log_bigram_odds_ratio,88.625
0.6851116784537598,0.7533588182428216,-0.7464689881067202,2.2472306026035787,step3000-tokens12B,Intercept,83.3875
-0.3103872524233169,1.267871767597015,-3.109587643737663,1.9958436616519157,step3000-tokens12B,GenPref,40.75
0.3361166272575817,0.8786667726264997,-1.3458895381247735,2.150281524953658,step3000-tokens12B,log_bigram_odds_ratio,59.7375
0.35636019790984785,1.279592982590976,-1.922475491292115,3.199665780249655,step3000-tokens12B,GenPref:log_bigram_odds_ratio,64.5625
-0.07696049589375954,0.7093462537212931,-1.597634391680082,1.2480296054704147,step30000-tokens125B,Intercept,46.400000000000006
0.4046819631994632,1.2303653142972812,-1.807945622426861,3.107746965250961,step30000-tokens125B,GenPref,62.31250000000001
-0.8105891598921056,0.9474428864615881,-2.849759823954082,0.9138180875131693,step30000-tokens125B,log_bigram_odds_ratio,32.175
-0.6330557794039636,1.378629705379058,-3.9068482552004378,1.7871295388235289,step30000-tokens125B,GenPref:log_bigram_odds_ratio,18.475
