,binom,Alpha Probs,Nonalpha Probs
117,inkwell and kite,-30.744140625,-28.10546875
118,foxglove and trombone,-33.4122314453125,-31.6351318359375
119,carousel and quill,-28.939453125,-31.240234375
120,lighthouse and onion,-25.5,-29.3203125
121,cactus and chessboard,-29.623046875,-28.6099853515625
122,gallery and raindrop,-31.427734375,-30.744140625
123,cricket and plow,-30.17578125,-29.392578125
124,gingerbread and fresco,-31.5595703125,-30.23046875
125,cello and sunflower,-27.7255859375,-28.796875
126,archway and quilt,-30.41796875,-30.69140625
127,compass and haystack,-28.21875,-27.73046875
128,beacon and millipede,-33.0640869140625,-31.76318359375
129,parchment and windmill,-30.4375,-28.859375
130,candlestick and meadow,-33.7998046875,-30.3350830078125
