ngram,count
kiwis,1308423
axolotls,118861
platypuses,43558
wolverines,1749798
capybaras,77225
narwhals,86641
ocelots,84729
ibex,405760
harpies,186488
keas,41506
bonobos,290761
koalas,625349
sloths,420234
wombats,228721
lions,19766321
aardvarks,58045
ocarinas,25781
didgeridoos,27696
marimbas,46966
kalimbas,14400
lutes,159875
mandolins,158859
vibraphones,16255
glockenspiels,18494
cymbals,840625
clarinets,243271
trumpets,1217280
pianos,1902404
guitars,9084265
accordions,199194
flutes,1050688
cellos,268657
wolves,10525192
saxophones,327480
