...1,binom,Word1,Word2,Alpha Probs,Nonalpha Probs,checkpoint,ProbAandB,log_odds,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,no_final_stress,GenPref,y_vals,num_tokens,n_billion_tokens,bigram1_alpha,bigram2_alpha,bigram1_nonalpha,bigram2_nonalpha,count_bigram1_alpha,count_bigram2_alpha,count_bigram1_nonalpha,count_bigram2_nonalpha,corpus_size,count_and,bigram_prob_alpha,bigram_prob_nonalpha,log_bigram_prob_alpha,log_bigram_prob_nonalpha,log_bigram_odds_ratio
0,kiwis and wolverines,kiwis,wolverines,-79.0390625,-77.9296875,step0-tokens0B,0.24798742624020276,-1.109375,kiwis and wolverines,wolverines and kiwis,0,1308423,1749798,no,0,0,0,-1,-1,0,-0.2906777575,1,-1,-1,0.4267182851400678,-0.2952532031401963,0B,0,kiwis and,and wolverines,wolverines and,and kiwis,87073,29104,59355,52465,1560674367427,43378012800,3.743296596804087e-14,4.5998644756043444e-14,-30.916224635737205,-30.71016446068074,-0.20606017505646435
1,kiwis and narwhals,kiwis,narwhals,-78.21875,-76.9375,step0-tokens0B,0.2173375210470625,-1.28125,kiwis and narwhals,narwhals and kiwis,0,1308423,86641,no,0,1,0,-1,-1,0,2.71480473,0,-1,-1,0.5145713912968594,0.058302074279009575,0B,0,kiwis and,and narwhals,narwhals and,and kiwis,87073,7131,9914,52465,1560674367427,43378012800,9.171745475470708e-15,7.683102756489168e-15,-32.32264878046681,-32.49975292458786,0.1771041441210528
2,kiwis and ocelots,kiwis,ocelots,-79.7578125,-78.46875,step0-tokens0B,0.21601153469447487,-1.2890625,kiwis and ocelots,ocelots and kiwis,0,1308423,84729,no,0,0,0,-1,0,0,2.737119946,0,-1,-1,0.4575999316064041,-0.17000857211651807,0B,0,kiwis and,and ocelots,ocelots and,and kiwis,87073,6980,10953,52465,1560674367427,43378012800,8.977532382384734e-15,8.488301845050018e-15,-32.34405134073869,-32.40008743284463,0.05603609210594129
3,ibex and kiwis,ibex,kiwis,-64.96875,-64.2734375,step0-tokens0B,0.33285232501292616,-0.6953125,ibex and kiwis,kiwis and ibex,0,405760,1308423,no,0,0,0,1,0,0,-1.170816022,0,1,0,0.4969075001181056,-0.01237015726610144,0B,0,ibex and,and kiwis,kiwis and,and ibex,28514,52465,87073,14353,1560674367427,43378012800,2.2097638894344578e-14,1.846053327856276e-14,-31.443305629454468,-31.62314127792373,0.17983564846926114
4,harpies and kiwis,harpies,kiwis,-75.3359375,-77.2890625,step0-tokens0B,0.8757869916479467,1.953125,harpies and kiwis,kiwis and harpies,0,186488,1308423,no,0,-1,0,1,1,0,-1.94821098,0,0,0,0.4712148996666903,-0.11526785924400965,0B,0,harpies and,and kiwis,kiwis and,and harpies,19889,52465,87073,7479,1560674367427,43378012800,1.5413478991710015e-14,9.619335915165534e-15,-31.803534009105128,-32.27500116430344,0.4714671551983116
5,axolotls and wolverines,axolotls,wolverines,-86.0546875,-88.3359375,step0-tokens0B,0.907312221360624,2.28125,axolotls and wolverines,wolverines and axolotls,0,118861,1749798,no,0,-1,0,-1,0,0,-2.689300889,-1,-1,-1,0.2620247369529563,-1.0354713899770773,0B,0,axolotls and,and wolverines,wolverines and,and axolotls,6009,29104,59355,2525,1560674367427,43378012800,2.583288648627676e-15,2.213791632688644e-15,-33.589713137668554,-33.74406967856329,0.15435654089473871
6,axolotls and ibex,axolotls,ibex,-73.7734375,-75.9453125,step0-tokens0B,0.8976952921073469,2.171875,axolotls and ibex,ibex and axolotls,0,118861,405760,no,0,-1,0,-1,0,0,-1.227807109,-2,-1,0,0.33121715141760155,-0.7026852095280117,0B,0,axolotls and,and ibex,ibex and,and axolotls,6009,14353,28514,2525,1560674367427,43378012800,1.2739809639139991e-15,1.0635002041021647e-15,-34.29662977985508,-34.47721084733702,0.18058106748193836
7,axolotls and harpies,axolotls,harpies,-90.0859375,-87.34375,step0-tokens0B,0.06052939020253899,-2.7421875,axolotls and harpies,harpies and axolotls,0,118861,186488,no,0,1,0,-1,-1,0,-0.4504121507,-2,0,0,0.41316611133534603,-0.35089207752444285,0B,0,axolotls and,and harpies,harpies and,and axolotls,6009,7479,19889,2525,1560674367427,43378012800,6.63840564976855e-16,7.418094816366681e-16,-34.94848966623479,-34.83743922698768,-0.11105043924711566
8,axolotls and keas,axolotls,keas,-76.9609375,-78.2578125,step0-tokens0B,0.7853085808877581,1.296875,axolotls and keas,keas and axolotls,0,118861,41506,no,0,0,1,-1,0,0,1.052116748,-3,-1,1,0.5908236184577735,0.36737121314088894,0B,0,axolotls and,and keas,keas and,and axolotls,6009,1081,1780,2525,1560674367427,43378012800,9.595021403128496e-17,6.638950562186482e-17,-36.88270222078725,-37.2509926777648,0.36829045697754736
9,axolotls and bonobos,axolotls,bonobos,-87.7890625,-90.03125,step0-tokens0B,0.9039745112122062,2.2421875,axolotls and bonobos,bonobos and axolotls,0,118861,290761,no,0,-1,0,-1,0,0,-0.8945468807,-1,0,0,0.32836692114815236,-0.7155805326050524,0B,0,axolotls and,and bonobos,bonobos and,and axolotls,6009,36136,35799,2525,1560674367427,43378012800,3.207453223158662e-15,1.3352123099759206e-15,-33.37329916109202,-34.24968608201316,0.8763869209211421
