ngram,count
20s,8714930
a.b.,0
abasement,46595
ability,219199683
abolition,2601582
action,278082596
actions,108553962
activities,207685169
activity,193125061
addresses,36838089
adventure,55138717
africa,86429246
age,305631703
agencies,58839041
aggression,9136004
agreements,26897258
aims,45530609
aircraft,44842184
alibis,138444
aloes,142251
ammo,6481183
ammunition,6977883
anger,29691500
anguish,2806342
anthropology,6754079
anxiety,62553024
apprehension,2273941
archaeologists,2204012
arches,3952909
argument,72460855
arizona,31053676
arm,61038729
arms,66203519
arrangers,224015
arsenic,3006447
artillery,6715883
artist,90129606
arts,101015972
ash,14908311
associations,27613718
assurance,16096840
astronomy,6560032
attention,192364821
attitude,43711926
attractions,20371821
aunt,13905679
aunts,3285852
authority,85125935
azaleas,523991
b,288464487
babylon,3425090
back,1203414279
background,128353332
bacon,17425127
bacteria,37444583
bandits,2945935
bar,141626985
barges,1083635
barley,5513958
barrels,9103031
bathrobe,475092
battle,95877644
beauty,90713391
beech,2223934
being,1227900925
belly,17166234
berlin,23668748
betrayal,4775902
bitterness,4007601
black,327118657
blame,35416746
blood,232228991
blossom,6045797
boardinghouses,19632
boats,21851850
bodies,59218398
body,416926805
bombers,3898020
bone,52704897
bones,26589622
boots,25467500
boredom,4229821
boulders,2461032
bouquets,1720933
bourbon,5106984
boys,81147046
brain,121263069
brains,15163344
bread,49530567
breakfast,62679418
brick,20957501
bride,17616967
brother,88283876
brothers,52180120
brow,4377545
brush,33422061
burma,3042016
bushes,5607944
c.,0
cakes,13661919
calluses,405758
candies,2881716
captain,44074438
caresses,386954
cattle,17512267
cause,247430663
ceiling,25918089
celebration,36307247
cents,18406343
certainty,9713087
chagrin,1076437
chair,64364383
chairs,24874937
character,177329194
characters,142028133
charm,18356734
charts,23419108
checks,36534744
chest,39818399
child,254653261
childhood,46729913
choice,206556510
chopping,3562466
christmas,130341662
chrome,24488813
church,198903472
city,535045021
clarity,21639244
classmates,7342311
clay,22655294
cliches,988084
clippings,1907604
closets,2706528
clothes,58831993
coat,30873521
cod,8202485
coffee,120223640
college,264087136
colonel,7938083
color,223322396
colors,82801358
comb,4840785
comedy,35887771
comfort,70141269
comings,559810
command,88384986
commands,23774395
commercialism,391880
completeness,4094505
complexity,32784525
comprehension,8241046
concord,3509459
concrete,51745307
conduct,60622772
confusion,24757358
confusions,543728
conscience,8316634
contemporary,59438396
contraction,6780087
control,442747584
corruption,24283954
cost,312939790
costumes,11182344
cotton,28669783
council,142601675
counterpoint,1569129
counties,18841593
county,214568779
courage,22303638
cousins,10879146
crannies,739763
cream,74806421
crime,72907892
crises,7231981
crops,20461586
curettage,233461
cuts,41266291
cysts,2828896
dairy,22699182
danger,38887707
dark,149108035
dates,54295827
daughter,102700529
day,1081412111
days,552753717
death,219228329
debate,55665639
december,142493420
democracy,32772306
dentist,14338323
depth,62489426
desolation,1082795
despair,8436030
detection,50877077
detective,13052930
determination,29981923
development,464932107
devotion,7682292
diagnosis,51455717
diagrams,9177132
diamonds,13102330
dirt,28193335
discretion,12250381
discussion,108090025
disdain,2584595
distress,13827069
doctors,65019535
dogs,95543468
domination,4667418
doorways,1870157
doubts,12539313
dreams,46989238
drudgery,572776
ears,26659276
earth,118801221
economist,8500181
editing,39014999
editor,58516927
education,313212248
effort,132733169
eggs,48508298
egypt,24360208
elbows,4201434
elegance,7494040
eloquence,934765
